mus	3	u
bil	3	i
hus	3	u
ris	3	i
val	3	a
räv	3	ä
hund	4	u
häst	4	ä
fisk	4	i
vet	3	e
ser	3	e
fel	3	e
hem	3	e
liv	3	i
tid	3	i
barn	4	a
säg	3	ä
hör	3	ö
hand	4	a
vän	3	ä
sak	3	a
far	3	a
väg	3	ä
namn	4	a
fru	3	u
slut	4	u
gav	3	a
ses	3	e
tänk	4	ä
tag	3	a
sant	4	a
fast	4	a
runt	4	u
dra	3	a
kul	3	u
män	3	ä
plats	5	a
tur	3	u
hänt	4	ä
rör	3	ö
glad	4	a
bryr	4	y
ber	3	e
rum	3	u
dags	4	a
par	3	a
bad	3	a
tyst	4	y
klar	4	a
stan	4	a
fint	4	i
lär	3	ä
ben	3	e
plan	4	a
glöm	4	ö
arg	3	a
tänkt	5	ä
grund	5	u
lät	3	ä
skrev	5	e
bör	3	ö
sägs	4	ä
synd	4	y
stund	5	u
land	4	a
svar	4	a
stark	5	a
hel	3	e
fred	4	e
dan	3	a
bär	3	ä
mark	4	a
film	4	i
fest	4	e
eld	3	e
spel	4	e
högt	4	ö
glömt	5	ö
stal	4	a
dröm	4	ö
steg	4	e
slags	5	a
fly	3	y
söt	3	ö
frun	4	u
bild	4	i
stad	4	a
glas	4	a
stör	4	ö
brev	4	e
röst	4	ö
läst	4	ä
krävs	5	ä
halv	4	a
van	3	a
ren	3	e
makt	4	a
lag	3	a
värd	4	ä
kraft	5	a
bit	3	i
band	4	a
