dit	ditt	44485
lät	lätt	14463
för	förr	10776
bil	bill	7087
van	vann	6467
hål	håll	5099
mat	matt	4578
dör	dörr	4223
vis	viss	3536
los	loss	3534
nåt	nått	3433
stil	still	3396
vit	vitt	3312
rik	rick	3127
glas	glass	2742
san	sann	2682
söt	sött	2112
byt	bytt	1750
tak	tack	1693
möt	mött	1687
bet	bett	1649
fin	finn	1625
het	hett	1522
hal	hall	1398
fet	fett	1173
get	gett	1060
väg	vägg	1047
kol	koll	1032
stöt	stött	1015
grep	grepp	1000
dam	damm	993
sket	skett	893
skal	skall	793
hel	hell	785
glen	glenn	745
bak	back	709
sköt	skött	694
ros	ross	630
les	less	619
bot	bott	576
slås	slåss	557
bryt	brytt	498
vet	vett	482
top	topp	452
nys	nyss	447
des	dess	436
set	sett	430
mit	mitt	415
trip	tripp	407
betet	betett	405
vin	vinn	397
gran	grann	383
blöt	blött	380
kit	kitt	377
lös	löss	369
stop	stopp	367
gråt	grått	365
got	gott	362
stal	stall	353
hop	hopp	343
skäl	skäll	341
flyt	flytt	338
let	lett	337
sked	skedd	337
log	logg	333
mil	mill	317
tät	tätt	313
til	till	309
nät	nätt	307
sprit	spritt	293
job	jobb	292
cal	call	282
räd	rädd	273
våt	vått	272
bered	beredd	267
del	dell	266
smal	small	262
mos	moss	245
kid	kidd	230
lam	lamm	225
zak	zack	219
gil	gill	218
kap	kapp	206
her	herr	206
wil	will	206
zed	zedd	205
väl	väll	204
por	porr	203
sed	sedd	201
sil	sill	200
bok	bock	193
tas	tass	191
smak	smack	189
nik	nick	188
kal	kall	186
dop	dopp	186
vil	vill	178
metal	metall	178
häl	häll	173
tel	tell	171
swan	swann	168
tik	tick	168
spot	spott	165
bran	brann	162
dod	dodd	160
tal	tall	157
kok	kock	155
bor	borr	153
fik	fick	147
fog	fogg	142
pen	penn	142
led	ledd	140
hip	hipp	139
phil	phill	138
bar	barr	138
win	winn	137
lab	labb	135
jen	jenn	134
tod	todd	133
slät	slätt	131
abbot	abbott	130
rob	robb	130
mal	mall	128
skin	skinn	126
lin	linn	124
rap	rapp	123
rip	ripp	121
pal	pall	117
vik	vick	116
his	hiss	115
span	spann	115
släp	släpp	114
klas	klass	114
fel	fell	113
flag	flagg	109
krok	krock	108
tes	tess	105
vek	veck	103
shel	shell	103
mes	mess	102
bred	bredd	101
lil	lill	99
det	dett	98
hak	hack	98
flik	flick	96
pit	pitt	92
hos	hoss	89
dog	dogg	85
lot	lott	84
kel	kell	82
jet	jett	80
tag	tagg	80
bret	brett	79
stam	stamm	79
mob	mobb	76
tris	triss	75
sak	sack	72
kil	kill	72
ten	tenn	71
jam	jamm	71
föl	föll	71
graf	graff	71
grim	grimm	70
säl	säll	67
bos	boss	67
knop	knopp	65
mät	mätt	64
drop	dropp	64
vos	voss	64
käk	käck	64
skyl	skyll	64
tip	tipp	64
kval	kvall	63
smit	smitt	63
jos	joss	62
rit	ritt	62
prop	propp	61
pak	pack	60
ståt	stått	60
hes	hess	60
lap	lapp	60
dag	dagg	58
jin	jinn	56
dip	dipp	56
rät	rätt	56
dos	doss	56
pik	pick	55
far	farr	55
mak	mack	54
par	parr	54
lit	litt	54
föd	född	53
pot	pott	51
flak	flack	51
lyn	lynn	50
ran	rann	49
slip	slipp	49
slöt	slött	49
cob	cobb	49
cap	capp	48
rak	rack	48
nef	neff	47
ker	kerr	46
bon	bonn	46
jep	jepp	45
syd	sydd	45
pin	pinn	44
sprid	spridd	43
lön	lönn	43
